# gunzip -c exp/sgmm2_4_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Apr 21 05:22:07 PKT 2021
#
At utterance begin, SIL accounts for 99.2% of phone occurrences, with duration (median, mean, 95-percentile) is (35,34.0,53) frames.
At utterance begin, nonsilence accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.2,12) frames.
At utterance end, SIL accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (45,45.3,62) frames.
Overall, nonsilence accounts for 96.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,17) frames.
Overall, A_I accounts for 8.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,9) frames.
Overall, A_A_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,19) frames.
Overall, A_Y_E accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,21) frames.
Overall, SIL accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (37,34.9,59) frames.
Overall, K_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,11) frames.
Overall, R_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
Overall, I_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, I_I1_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.2,23) frames.
Overall, A_A_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.0,22) frames.
Overall, R_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,15) frames.
Overall, N_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, M_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,14) frames.
Overall, L_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,13) frames.
Overall, I_I1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,19) frames.
Overall, U_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,9) frames.
Overall, S_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.6,19) frames.
Overall, A_Y_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
