# gunzip -c exp/tri4a_ali/decode.si/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri4a_ali/graph 
# Started at Thu Apr 22 16:08:09 PKT 2021
#
At utterance begin, SIL accounts for 89.8% of phone occurrences, with duration (median, mean, 95-percentile) is (36,50.8,153) frames.
At utterance begin, nonsilence accounts for 9.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,17) frames.
At utterance begin, K_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.2,6) frames.
At utterance begin, M_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,14) frames.
At utterance begin, S_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,13.1,22) frames.
At utterance begin, oov_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (32,45.4,65) frames.
At utterance begin, F_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,6) frames.
At utterance end, SIL accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (67,82.1,193) frames.
Overall, nonsilence accounts for 88.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.3,27) frames.
Overall, SIL accounts for 11.9% of phone occurrences, with duration (median, mean, 95-percentile) is (29,44.4,140) frames.
Overall, A_I accounts for 9.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,16) frames.
Overall, R_E accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,26) frames.
Overall, R_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,17) frames.
Overall, I_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,18) frames.
Overall, K_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,14) frames.
Overall, A_Y_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.1,32) frames.
Overall, L_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.3,24) frames.
Overall, A_A_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.7,26) frames.
Overall, A_A_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,19.1,44) frames.
Overall, M_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,22) frames.
Overall, O_O_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.4,30) frames.
Overall, I_I1_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.2,33) frames.
Overall, H_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.4,34) frames.
Overall, B_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,22) frames.
Overall, O_O_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.0,38) frames.
Overall, L_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.0,32) frames.
Overall, U_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, U_U_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.9,32) frames.
Overall, H_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.2,27) frames.
Overall, I_I1_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,26) frames.
Overall, D_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,24) frames.
Overall, G_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,18) frames.
Overall, A_Y_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,22) frames.
Overall, S_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.5,29) frames.
Overall, N_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,19) frames.
Overall, O_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.8,27) frames.
Overall, A_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,19) frames.
Overall, S_H_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.4,31) frames.
Overall, A_Y_N_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.4,36) frames.
Overall, V_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.4,26) frames.
Overall, S_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.3,27) frames.
Overall, A_E1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.8,23) frames.
Overall, R_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,19) frames.
