# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Apr 22 14:26:21 PKT 2021
#
At utterance begin, SIL accounts for 95.0% of phone occurrences, with duration (median, mean, 95-percentile) is (44,49.5,104) frames.
At utterance begin, nonsilence accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,22) frames.
At utterance begin, S_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.4,24) frames.
At utterance begin, M_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.0,14) frames.
At utterance end, SIL accounts for 97.8% of phone occurrences, with duration (median, mean, 95-percentile) is (47,53.8,114) frames.
At utterance end, nonsilence accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (13,23.6,70) frames.
At utterance end, A_E_N_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (55,57.0,77) frames.
At utterance end, A_Y_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,7) frames.
At utterance end, A_A_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.0,18) frames.
Overall, nonsilence accounts for 94.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.5,23) frames.
Overall, A_I accounts for 8.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, SIL accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (36,41.5,98) frames.
Overall, A_A_I accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.1,30) frames.
Overall, A_Y_E accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.3,33) frames.
Overall, K_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
Overall, I_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,12) frames.
Overall, R_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,16) frames.
Overall, I_I1_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.2,35) frames.
Overall, A_A_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.5,39) frames.
Overall, R_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,25) frames.
Overall, N_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,17) frames.
Overall, M_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.3,20) frames.
Overall, L_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
Overall, I_I1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.4,25) frames.
Overall, U_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,13) frames.
Overall, S_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.6,26) frames.
Overall, A_Y_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,22) frames.
