# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Apr 22 16:19:55 PKT 2021
#
At utterance begin, SIL accounts for 94.0% of phone occurrences, with duration (median, mean, 95-percentile) is (53,54.9,109) frames.
At utterance begin, nonsilence accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,22) frames.
At utterance begin, M_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,15) frames.
At utterance begin, S_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.0,25) frames.
At utterance end, SIL accounts for 97.2% of phone occurrences, with duration (median, mean, 95-percentile) is (51,59.0,128) frames.
At utterance end, nonsilence accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (82,76.3,137) frames.
At utterance end, A_E_N_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (96,95.5,137) frames.
Overall, nonsilence accounts for 92.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,23) frames.
Overall, A_I accounts for 8.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,12) frames.
Overall, SIL accounts for 7.5% of phone occurrences, with duration (median, mean, 95-percentile) is (29,37.4,101) frames.
Overall, A_A_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.8,28) frames.
Overall, A_Y_E accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.4,31) frames.
Overall, K_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,14) frames.
Overall, I_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,13) frames.
Overall, R_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,14) frames.
Overall, I_I1_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.1,29) frames.
Overall, A_A_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.5,38) frames.
Overall, R_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,23) frames.
Overall, N_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,16) frames.
Overall, M_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,20) frames.
Overall, L_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
Overall, U_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,14) frames.
Overall, I_I1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,24) frames.
Overall, S_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.2,26) frames.
Overall, A_Y_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,22) frames.
