# gunzip -c exp/tri2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Apr 21 06:52:20 PKT 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (74,75.6,118) frames.
At utterance end, SIL accounts for 92.8% of phone occurrences, with duration (median, mean, 95-percentile) is (44,47.5,84) frames.
At utterance end, nonsilence accounts for 7.2% of phone occurrences, with duration (median, mean, 95-percentile) is (37,36.7,62) frames.
At utterance end, A_E_N_E accounts for 7.2% of phone occurrences, with duration (median, mean, 95-percentile) is (37,36.7,62) frames.
Overall, nonsilence accounts for 95.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,16) frames.
Overall, A_I accounts for 8.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,10) frames.
Overall, A_A_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.9,18) frames.
Overall, SIL accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (46,49.7,104) frames.
Overall, A_Y_E accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,19) frames.
Overall, K_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,13) frames.
Overall, R_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,11) frames.
Overall, I_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, I_I1_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,20) frames.
Overall, A_A_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,20) frames.
Overall, R_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
Overall, N_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,13) frames.
Overall, M_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,13) frames.
Overall, L_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,12) frames.
Overall, I_I1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,17) frames.
Overall, U_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, S_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,16) frames.
