# gunzip -c exp/tri1_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Apr 21 06:50:48 PKT 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 79.5% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 85.7% of phone occurrences, with duration (median, mean, 95-percentile) is (25,28.9,71) frames.
At utterance begin, nonsilence accounts for 14.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,20) frames.
At utterance begin, S_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.6,19) frames.
At utterance begin, H_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.5,13) frames.
At utterance begin, K_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,13) frames.
At utterance begin, S_H_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.6,23) frames.
At utterance begin, M_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.3,13) frames.
At utterance begin, T_D_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,8) frames.
At utterance begin, A_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,12) frames.
At utterance begin, P_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,8) frames.
At utterance begin, A_E1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,11.0,14) frames.
At utterance begin, F_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.0,7) frames.
At utterance end, SIL accounts for 79.5% of phone occurrences, with duration (median, mean, 95-percentile) is (40,52.4,136) frames.
At utterance end, nonsilence accounts for 20.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,21.5,48) frames.
At utterance end, A_Y_E accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.4,27) frames.
At utterance end, A_E_N_E accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (25,31.9,70) frames.
At utterance end, A_A_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.5,23) frames.
At utterance end, I_I1_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,20.9,29) frames.
At utterance end, A_Y_N_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.5,22) frames.
Overall, nonsilence accounts for 92.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.6,33) frames.
Overall, A_I accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
